#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_HUNGARY;Hungary-Croatia;Hongrie-Croatie;Ungarn-Kroatien;;Hungría-Croacia;;;;;x,,,,,,,,,,,,,
BM_JERUSALEM_DESC;Jerusalem stands strong and proud. The Principality of Antioch has been absorbed and the Kingdom has expanded inland, toward the Sinai peninsula and Damascus. Although Jerusalem's size and strength goes a long way to secure Catholic dominance in the Levant, everything is far from guaranteed. Damascus and Aleppo still stand as guards against the massive Seljuk Sultanate to the East, and the Fatimid Caliph smarts over the losses Egypt suffered during the First Crusade. Jerusalem has many enemies, and few friends. In the distance, a scream for Jihad sounds....;Jérusalem se tient fort et fier. La Principauté d'Antioche a été absorbé et le Royaume a élargi l'intérieur des terres, vers la péninsule du Sinaï et Damas. Bien que la taille et la force de Jérusalem va un long chemin pour assurer la domination catholique dans le Levant, tout est loin d'être garanti. Damas et Alep sont encore debout comme gardes contre le massif seldjoukide Sultanat à l'Est, et le calife fatimide Smarts sur les pertes subies lors de l'Egypte de la première croisade. Jérusalem a beaucoup d'ennemis, et quelques amis. Au loin, un cri pour le Jihad sons....;Jerusalem steht stark und stolz. Das Fürstentum Antiochia absorbiert wurde und das Königreich hat sich im Landesinneren in Richtung der Halbinsel Sinai und Damaskus erweitert. Obwohl Jerusalem Größe und Stärke geht ein langer Weg zur katholischen Dominanz in der Levante zu sichern, ist alles weit von garantiert. Damaskus und Aleppo immer noch als Wächter gegen die massive Seldschuken Sultanat im Osten stehen, und die Fatimiden-Kalifen Smarts über die Verluste Ägypten während des ersten Kreuzzuges erlitten. Jerusalem hat viele Feinde, und nur wenige Freunde. In der Ferne, ein Schrei für Jihad klingt....;;Jerusalén se mantiene firme y orgullosa. El Principado de Antioquía se haya absorbido y el Reino se ha expandido hacia el interior, hacia la península del Sinaí y Damasco. Aunque el tamaño y la fuerza de Jerusalén va un largo camino para asegurar la dominación católica en el Levante, todo está lejos de estar garantizada. Damasco y Alepo siguen en pie como guardias en contra de la masiva sultanato selyúcida hacia el Este, y el califa fatimí smarts sobre las pérdidas Egipto sufrió durante la Primera Cruzada. Jerusalén tiene muchos enemigos y pocos amigos. A lo lejos, un grito para la Jihad suena....;;;;;x,,,,,,,,
BM_KOMNENOS;Manuel Komnenos;Manuel Comnène;Manuel Komnenos;;Manuel Comneno;;;;;x,,,,,,,,,,,,,
BM_KOMNENOS_DESC;Manuel Komenos reigns in Byzantium, and Hungary looks on in fear. Ever the opportunist, Manuel had long ago concluded a pact with the King of Hungary, István III,whereby István's brother Belá would be educated at the Imperial court in Constantinople. Manuel had as-of-yet been without legitimate male issue, and intended Belá to be married to his daughter Maria, to eventually rule alongside her as Emperor.  Sensing opportunity, however, Manuel decided to move against István and press his son-in-law's claims on the duchies of Dalmatia and Croatia. With those titles secured, Belá is now a landed vassal of Manuel, and the heir to the Kingdoms of Croatia and Hungary. Although the Komnenos line looks as though it may slip from the Imperial seat unless Manuel takes immediate action, the Byzantine Empire stands to grasp the greatest prize it has had in its sights since the Komnenoi took the throne: the buffer between the Holy Roman and Eastern Roman Empires.;Manuel Komenos règne à Byzance, et la Hongrie regarde dans la peur. Jamais l'opportuniste, Manuel avait depuis longtemps conclu un pacte avec le roi de Hongrie, István III, où le frère de István Belá serait instruit à la cour impériale de Constantinople. Manuel avait pour-de-encore été question légitime sans mâle, et destiné Belá de se marier à sa fille Maria, à terme, se prononcer aux côtés de son empereur. Sentant occasion, cependant, Manuel a décidé d'agir contre István et appuyez sur son fils en droit les allégations de sur les duchés de la Dalmatie et de la Croatie. Avec ces titres sécurisés, Béla est maintenant un vassal débarqué de Manuel, et l'héritier des royaumes de Croatie et la Hongrie. Bien que la ligne Comnène regarde comme si elle risque de glisser du siège impérial sauf Manuel prenne des mesures immédiates, l'Empire byzantin se saisir le plus grand prix qu'il a eu dans ses activités depuis le Comnènes a pris le trône: le tampon entre le Saint-Roman et de l'Est Empires romains.;Manuel Komenos herrscht in Byzanz und Ungarn schaut in Angst. Schon die opportunistische, Manuel hatte vor langer Zeit einen Pakt mit dem König von Ungarn, István III, wobei István Bruder Belá würde am kaiserlichen Hof in Konstantinopel erzogen werden. Manuel hatte wie-der-doch ohne legitimen männlichen Erben gewesen, und bestimmt Belá, um zu seiner Tochter Maria verheiratet zu sein, um schließlich neben ihr regieren als Kaiser. Sensing Gelegenheit, entschied jedoch, Manuel gegen István und drücken seinem Sohn-in-law Ansprüche über die Herzogtümer von Dalmatien und Kroatien. Mit diese Titel sicherte, ist jetzt ein Belá landete Vasall Manuel und das Erbe der Königreiche Kroatien und Ungarn. Obwohl die Komnenos Linie sieht aus, als wenn es auch von der Kaisersitz rutschen, es sei denn Manuel tritt mit sofortiger Wirkung, das Byzantinische Reich steht, um den größten Preis sie im Visier gehabt hat, da die Komnenoi übernahm den Thron zu erfassen: der Puffer zwischen dem Heiligen Römischen-und Ost-römischen Reiches.;;Manuel Komenos reina en Bizancio, y Hungría mira con miedo. Alguna vez el oportunista, Manuel hacía tiempo concertado un pacto con el rey de Hungría, István III, en el que el hermano de István Belá sería educado en la corte imperial de Constantinopla. Manuel tuvo como-de-estado aún sin descendencia legítima masculina, y la intención Belá a estar casado con su hija María, para descartar finalmente junto a ella como emperador. Sintiendo la oportunidad, sin embargo, Manuel decidió actuar contra István y presione a su hijo-en-ley en las reclamaciones de los ducados de Dalmacia y Croacia. Con esos títulos asegurados, Belá es ahora un vasallo aterrizado de Manuel, y el heredero de los reinos de Croacia y Hungría. Aunque la línea Comneno parece como si se puede resbalar de la silla imperial a menos Manuel toma una acción inmediata, el Imperio Bizantino se destaca de captar el mayor premio que ha tenido en la mira desde el Komnenoi subió al trono: el amortiguador entre el Sacro Imperio Romano y del Este imperios Romanos.;;;;;x,,
BM_SERBIA;Fall of the Komnenoi;Chute de la Comnènes;Fall der Komnenoi;;Caída del Komnenoi;;;;;x,,,,,,,,,,,,,
BM_SERBIA_DESC;The Komnenoi have fallen from the Imperial Throne, and Byzantium is falling with them. The newly-formed Kingdoms of Serbia and Bulgaria have declared their independence from the Byzantine crown, the Seljuk Sultans of Rum press against the Empire's restored borders in Anatolia, and an independent Belá III rules in Hungary-Croatia. All of Manuel Komnenos's dreams have come to naught, but this is a time of opportunity, for those wise enough to see it. Alexios Komnenos, an infant member of the royal Komnenos dynasty, rules in Trebizond. If he can gather support enough to press his claim on Byzantium, the young Komnenos can work to restore the golden age his family's untimely fall from grace brought to a close.;Le Comnènes ont tombé du trône impérial, et Byzance est en baisse avec eux. Les Royaumes nouvellement formés de la Serbie et la Bulgarie ont déclaré leur indépendance de la couronne byzantine, les sultans seldjoukides de Rum presse contre les frontières de l'Empire restauré en Anatolie, et une règles Belá III indépendants en Hongrie-Croatie. Tous les rêves de Manuel Komnenos ont abouti à rien, mais c'est un moment d'opportunité, pour ceux assez sages pour voir. Alexis Comnène, un membre du nourrisson de la dynastie Comnène royale, les règles de Trébizonde. S'il peut rassembler suffisamment d'appuyer sa demande sur Byzance soutien, les jeunes Comnène peut travailler à restaurer l'âge d'or chute prématurée de sa famille de grâce porté à sa fin.;Die Komnenoi wurden aus dem Kaiserthron gefallen, und Byzanz wird mit ihnen fallen. Die neu gegründeten Königreiche Serbien und Bulgarien haben ihre Unabhängigkeit von der byzantinischen Krone, den Seldschuken Sultans von Rum Presse gegen des Reiches wiederhergestellt Grenzen in Anatolien und einer unabhängigen Belá III-Regeln in Ungarn-Kroatien erklärt. Alle Manuel Komnenos Träume haben sich zerschlagen, aber das ist eine Zeit der Chancen für diejenigen, klug genug, um es zu sehen. Alexios Komnenos, ein Kind Mitglied der königlichen Komnenos Dynastie, Regeln in Trapezunt. Wenn er genug Unterstützung, um seinen Anspruch auf Byzanz drücken sammeln, können die jungen Komnenos arbeiten, um das goldene Zeitalter Umfallen seiner Familie aus der Gnade zu Ende gebracht wiederherzustellen.;;El Komnenoi haber caído del trono imperial, y Bizancio se cae con ellos. Los Reinos de reciente formación de Serbia y Bulgaria han declarado su independencia de la corona bizantina, los sultanes selyúcidas de ron de prensa contra las fronteras restauradas del Imperio en Anatolia, y una reglas independientes de Bela III de Hungría-Croacia. Todos los sueños de Manuel Comneno han llegado a nada, pero este es un momento de oportunidad, para aquellos lo suficientemente sabio como para verlo. Alejo Comneno, un miembro de bebé de la dinastía real Comneno, reglas en Trebisonda. Si es capaz de reunir el apoyo suficiente para insistir en su reclamo en Bizancio, los jóvenes Comneno puede trabajar para restaurar la edad de oro caída prematura de su familia en desgracia trajo a su fin.;;;;;x,,,,,
BM_IBERIA;The Iberian Campaign;La campagne ibérique;Die iberische Kampagne;;La Campaña Ibérica;;;;;x,,,,,,,,,,,,,
BM_IBERIA_DESC;Iberia is balanced between the Muslims and Christians. In the north the Catholics divide the land between five Kingdoms: Portugal, León, Castille, Navarra, and Aragón. To the south, the Muslims are unified under the powerful Almohad Sultanate. Is this a time of opportunity and growth for the Christians, or has the Almohad Sultan amassed enough power to finally breach Europe proper?;Iberia est équilibré entre les musulmans et les chrétiens. Dans le nord, les catholiques divisent la terre entre cinq royaumes: Portugal, León, Castille, Navarre, Aragon et. Au sud, les musulmans sont unis sous la puissante almohade Sultanat. Est-ce un moment d'opportunité et de croissance pour les chrétiens, ou a le sultan almohade amassé assez de puissance pour enfin rompre l'Europe proprement dite?;Iberia zwischen den Muslimen und Christen gegenüber. Im Norden die Katholiken teilen das Land zwischen fünf Königreiche: Portugal, León, Kastilien, Navarra, Aragón und. Im Süden sind die Muslime unter dem mächtigen Almohaden Sultanat vereinheitlicht. Ist dies eine Zeit der Chancen und Wachstum für die Christen, oder hat die Almohaden-Sultan angehäuft genug Leistung, um endlich durchbrechen eigentlichen Europa?;;Iberia se equilibra entre los musulmanes y los cristianos. En el norte los católicos a dividir la tierra entre cinco reinos: Portugal, León, Castilla, Navarra y Aragón. Al sur, los musulmanes están unificados bajo el poderoso sultanato almohade. ¿Es este un momento de oportunidad y crecimiento para los cristianos, o tiene el sultán almohade acumulado suficiente poder para finalmente romper Europa apropiada?;;;;;x,,,,,,,
BM_TURMOIL_IN_THE_EAST;Turmoil in the East;Turbulences dans l'Est;Aufruhr im Osten;;La turbulencia en el Medio;;;;;x,,,,,,,,,,,,,
BM_TURMOIL_IN_THE_EAST_DESC;The Fourth Crusade has left Byzantium crippled, and its prior vassal states do not fare much better. Three powerful Dukes vie for control of Greece proper, and only one of them are Greek. The hatred between the Latin and Byzantine Empires has not abated,  but neither has progress been made toward discovering the final victor in their struggle. Glory and titles are there, for a man--or woman--strong enough to seize them.;La quatrième croisade a quitté Byzance paralysé, et ses Etats vassaux antérieurs ne se portent pas beaucoup mieux. Trois Ducs puissants battent pour le contrôle de la Grèce propre, et un seul d'entre eux sont le grec. La haine entre le latin et l'Empire byzantin n'a pas diminué, mais ni a eu des progrès vers la découverte du vainqueur finale dans leur lutte. Gloire et les titres sont là, pour un homme - ou une femme - suffisamment fort pour les saisir.;;Der vierte Kreuzzug hat Byzanz verkrüppelt, und seine vor Vasallenstaaten nicht viel besser ergehen. Drei starke Herzöge um die Kontrolle der eigentlichen Griechenland, und nur einer von ihnen sind griechisch. Der Hass zwischen der lateinischen und byzantinischen Reiche hat nicht nachgelassen, aber weder hat Fortschritte auf dem Weg der Entdeckung der endgültige Sieger im Kampf gemacht. Ruhm und Titel sind da, für einen Mann - oder die Frau - stark genug, um sie zu ergreifen.;;;;;;x,,,,,,,,,
BM_FRACTURE;The Fall of Rûm;La chute de rhum;Der Fall des Rûm;;La caída de ron;;;;;x,,,,,,,,,,,,,
BM_FRACTURE_DESC;Plagued by the Mongols to the east and decadence within itself, the Sultanate of Rûm has collapsed. In its place a half-dozen Sultans have risen, all claiming to be Rûm's true successor. The Byzantine Empire, labored and barely standing, has recovered Constantinople, but its strength to do more than that is in question. Many other lords and lands have interest in the east, not to mention Naples and the still-warring Dukes in Greece, but regardless of if it is desired, this is one man's time. A great nation must rise from the ashes of Rûm--or Byzantium--and whoever succeeds in unifying the disparate peoples of the Aegean shall have power enough to challenge the gateguard of Europe, Hungary.;Tourmenté par les Mongols à l'est et de la décadence en lui-même, le Sultanat de rhum s'est effondré. A sa place, une demi-douzaine de sultans ont augmenté, tous prétendant être vrai successeur de rhum. L'Empire byzantin, laborieuse et à peine debout, a récupéré Constantinople, mais sa force de faire plus que ce qui est en question. Beaucoup d'autres seigneurs et les terres ont un intérêt dans l'Est, sans parler de Naples et des ducs encore en guerre en Grèce, mais peu importe si l'on veut, c'est le temps d'un seul homme. Une grande nation doit renaître de ses cendres de rhum - ou Byzance - et celui qui réussit à unifier les peuples disparates de la mer Egée a assez de puissance pour contester la gateguard de l'Europe, la Hongrie.;Durch die Mongolen im Osten und Dekadenz in sich geplagt, hat das Sultanat Rum zusammengebrochen. An ihrer Stelle haben ein halbes Dutzend Sultans gestiegen, die alle behaupten, Rûm wahre Nachfolger. Das Byzantinische Reich, mühsamen und kaum stehen, hat Konstantinopel erholt, aber seine Stärke, mehr als das zu tun ist, in Frage. Viele andere Herren und Länder haben Interesse im Osten, nicht nach Neapel und den noch kämpfenden Herzöge in Griechenland zu erwähnen, aber unabhängig davon, ob es gewünscht ist, ist dies eines Menschen Zeit. Oder Byzanz - - Eine große Nation muss aus der Asche steigen und wer Rûm gelingt es, die Vereinheitlichung der unterschiedlichen Völker der Ägäis werdet Kraft genug, um die gateguard von Europa, Ungarn fechten.;;Plagado de los mongoles hacia el este y la decadencia dentro de sí mismo, el Sultanato de Rum se ha derrumbado. En su lugar, una media docena de Sultanes se han incrementado, todos los que dicen ser verdadero sucesor de ron. El Imperio Bizantino, trabajosa y apenas de pie, se ha recuperado Constantinopla, pero su fuerza para hacer algo más que lo que está en cuestión. Muchos otros señores y las tierras tienen interés en el este, por no hablar de Nápoles y los duques todavía en guerra en Grecia, pero sin tener en cuenta si se desea, este es el tiempo de un solo hombre. Una gran nación debe surgir de las cenizas de ron - o Bizancio - y el que tiene éxito en la unificación de los pueblos dispares del Egeo tendrá poder suficiente para desafiar al gateguard de Europa, Hungría.;;;;;x,,,,
BM_SWEDEN;Magnus IV;Magnus IV;Magnus IV;;Magnus IV;;;;;x,,,,,,,,,,,,,
BM_SWEDEN_DESC;Magnus IV, by election King of Sweden and by birthright King of Norway, has temporarily united much of Scandinavia under his rule. Unless Magnus proves to be an exceptional King it is unlikely that the union will live beyond him, but there are those who whisper of an Empire of the North, with Magnus I at its head.;Magnus IV, par l'élection roi de Suède et par droit d'aînesse Roi de Norvège, a temporairement uni beaucoup de la Scandinavie sous son règne. Sauf Magnus se révèle être un roi exceptionnel il est peu probable que le syndicat va vivre au-delà de lui, mais il ya ceux qui murmure d'un empire du Nord, avec Magnus I à sa tête.;Magnus IV, durch Wahl König von Schweden und von Geburt König von Norwegen, vorübergehend viel von Skandinavien unter seiner Herrschaft vereint. Es sei denn, Magnus erweist sich als eine außergewöhnliche König ist es unwahrscheinlich, dass die Union über ihn leben, aber es sind diejenigen, die von einem Reich des Nordens flüstern, mit Magnus I an der Spitze.;;Magnus IV, por elección Rey de Suecia y por derecho de nacimiento el rey de Noruega, se ha unido temporalmente gran parte de los países escandinavos bajo su gobierno. A menos que Magnus ha demostrado ser un Rey excepcional es poco probable que el sindicato va a vivir más allá de él, pero hay los que susurran de un Imperio del Norte, con Magnus I en su cabeza.;;;;;x,,,,,,,,,
BM_ITALY;The Italian Campaign;La campagne d'Italie;Die italienische Kampagne;;La campaña italiana;;;;;x,,,,,,,,,,,,,
